description,category
Water shortage reported in Colony Gate,Water Supply
Streetlight not working in Main Street,Electricity
Water leakage at Block A,Water Supply
Noise pollution in Main Street,Other
Electric pole issue at Anna Nagar,Electricity
Garbage not collected in Bus Stand,Sanitation
Power outage in Market Area,Electricity
No water supply in Market Area,Water Supply
Water shortage reported in Anna Nagar,Water Supply
Power outage in MG Road,Electricity
Streetlight not working in Block A,Electricity
Water stagnation due to drainage in Main Street,Drainage
There is a pothole on Colony Gate road,PWD
Unclean streets reported in Gandhi Nagar,Sanitation
Frequent power cuts in Colony Gate,Electricity
Clogged drainage system in Park Area,Drainage
Streetlight not working in Anna Nagar,Electricity
Low water pressure in School Road,Water Supply
Blocked drain causing flooding at Anna Nagar,Drainage
Water stagnation due to drainage in MG Road,Drainage
Overflowing dustbins near Gandhi Nagar,Sanitation
No water supply in Bus Stand,Water Supply
Noise pollution in Colony Gate,Other
General complaint in Park Area,Other
Water leakage at Colony Gate,Water Supply
Power outage in Main Street,Electricity
No water supply in Gandhi Nagar,Water Supply
There is a pothole on Block A road,PWD
Low water pressure in Bus Stand,Water Supply
No water supply in Colony Gate,Water Supply
Illegal activity reported in Main Street,Other
Garbage not collected in Colony Gate,Sanitation
There is a pothole on Park Area road,PWD
Stray animals causing issues in Park Area,Other
Public nuisance reported in Bus Stand,Other
Power outage in Anna Nagar,Electricity
Power outage in Anna Nagar,Electricity
No electricity supply in Park Area,Electricity
No electricity supply in Park Area,Electricity
Electric pole issue at Main Street,Electricity
Cracks on the road at Gandhi Nagar,PWD
Frequent power cuts in Bus Stand,Electricity
Road damage reported near Bus Stand,PWD
No electricity supply in Gandhi Nagar,Electricity
Blocked drain causing flooding at Colony Gate,Drainage
Streetlight not working in School Road,Electricity
Blocked drain causing flooding at School Road,Drainage
Illegal activity reported in Market Area,Other
No electricity supply in Market Area,Electricity
Public nuisance reported in Colony Gate,Other
Stray animals causing issues in Main Street,Other
Power outage in MG Road,Electricity
Clogged drainage system in Colony Gate,Drainage
Low water pressure in Park Area,Water Supply
Low water pressure in Anna Nagar,Water Supply
Uneven road surface in School Road area,PWD
Noise pollution in Gandhi Nagar,Other
Power outage in Market Area,Electricity
Drainage overflow in Colony Gate,Drainage
No electricity supply in Colony Gate,Electricity
Low water pressure in Market Area,Water Supply
Blocked drain causing flooding at School Road,Drainage
Illegal activity reported in Colony Gate,Other
Water shortage reported in Bus Stand,Water Supply
Stray animals causing issues in Market Area,Other
Waste accumulation causing smell in MG Road,Sanitation
Water stagnation due to drainage in Gandhi Nagar,Drainage
Drainage overflow in Anna Nagar,Drainage
Road damage reported near School Road,PWD
Water shortage reported in Gandhi Nagar,Water Supply
Uneven road surface in Block A area,PWD
Cracks on the road at MG Road,PWD
Sewage issue reported in Colony Gate,Drainage
Illegal activity reported in Block A,Other
Garbage not collected in Park Area,Sanitation
Public nuisance reported in Anna Nagar,Other
Water leakage at Anna Nagar,Water Supply
Garbage not collected in Gandhi Nagar,Sanitation
Drainage overflow in Anna Nagar,Drainage
Water stagnation due to drainage in Main Street,Drainage
Cracks on the road at Gandhi Nagar,PWD
Frequent power cuts in Colony Gate,Electricity
Waste accumulation causing smell in Anna Nagar,Sanitation
Garbage lying unattended at Colony Gate,Sanitation
Waste accumulation causing smell in Park Area,Sanitation
Blocked drain causing flooding at Bus Stand,Drainage
General complaint in School Road,Other
